id,category,round,year,codprov,name_prov,depto,coddepto,electores,blancos,nulos,votos_validos,no_voto,porc_novoto,mst_movimiento_socialista_de_los_trabajadores,alianza_frente_para_la_victoria,obrero,alianza_frente_amplio_podemos,alianza_frente_civico_y_social,alianza_frente_tercera_posicion,movimiento_independiente_justicia_y_dignidad,partido_del_trabajo_y_del_pueblo,movimiento_polo_social_la_tercera_posicion_de_la_gente,de_accion_chubutense,alianza_cambiemos_chubut,alianza_frente_union_chubut_somos_todos,movimiento_al_socialismo,es_posible,union_celeste_y_blanco,alianza_progresistas,alianza_cambiemos,alianza_frente_de_izquierda_y_de_los_trabajadores,alianza_union_por_cordoba,instrumento_electoral_por_la_unidad_popular,mst_nueva_izquierda,alianza_unidos_por_una_nueva_alternativa_una,alianza_encuentro_por_corrientes,alianza_cambiemos_mendoza,alianza_frente_renovador_federal_por_la_esperanza,socialista_autentico,partido_popular,alianza_compromiso_federal,alianza_frente_popular,del_campo_popular,unite_por_la_libertad_y_la_dignidad,alianza_frente_progresista_civico_y_social,partido_movimiento_de_participacion_ciudadana,alianza_frente_cambiemos
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Ambato,010,4768,339,2,2879,1889,40,1,1736,5,87,763,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Ancasti,004,2693,167,7,1837,856,32,3,854,2,3,973,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Andalgalá,012,14626,932,29,3614,11012,75,66,1880,49,34,1522,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Antofagasta de la Sierra,014,1199,0,0,0,1199,100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Belén,013,21474,1613,42,11904,9570,45,21,7082,53,237,4153,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Capayan,002,12900,741,42,6793,6107,47,12,4018,16,155,1903,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Capital,001,123658,6558,495,54748,68910,56,289,28397,626,625,20141,4670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,El Alto,005,3587,136,3,1597,1990,55,1,787,0,14,764,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Fray Mamerto Esquiú,009,9926,466,11,4194,5732,58,7,2573,17,85,1297,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,La Paz,003,18380,611,39,9711,8669,47,21,6141,18,84,2815,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Paclin,007,3916,414,4,2048,1868,48,37,982,1,9,977,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Pomán,011,8408,499,31,5603,2805,33,35,4038,3,100,1309,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Santa María,016,19266,1433,101,10594,8672,45,57,6937,24,189,2730,657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Santa Rosa,006,9895,145,13,2324,7571,77,13,1940,9,39,299,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Tinogasta,015,17352,1206,51,10085,7267,42,10,6122,23,143,3568,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catamarca_sen_paso_2015,sen,paso,2015,03,CATAMARCA,Valle Viejo,008,22095,521,19,6090,16005,72,13,3374,38,151,2147,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Biedma,002,64104,8702,843,34262,29842,47,345,14860,NA,NA,NA,NA,239,187,865,302,4604,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Cushamen,005,21280,2693,260,10850,10430,49,182,5508,NA,NA,NA,NA,39,44,160,390,1211,3316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Escalante,015,149420,15499,1643,69720,79700,53,1007,35187,NA,NA,NA,NA,830,1120,2296,1338,16215,11727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,F. Ameghino,011,1343,220,4,852,491,37,0,486,NA,NA,NA,NA,0,0,13,22,30,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Futaleufú,006,37260,6450,426,17190,20070,54,390,6278,NA,NA,NA,NA,57,102,281,215,3728,6139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Gaiman,012,9077,1459,76,5012,4065,45,70,1831,NA,NA,NA,NA,19,48,46,26,830,2142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Gastre,004,1222,0,0,0,1222,100,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Languiñeo,007,2506,252,6,1394,1112,44,3,680,NA,NA,NA,NA,1,0,2,2,131,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Mártires,010,605,0,0,380,225,37,0,230,NA,NA,NA,NA,2,0,0,1,11,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Paso de Indios,009,1536,413,7,817,719,47,2,273,NA,NA,NA,NA,2,0,1,6,93,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Rawson,001,107389,13741,1426,55081,52308,49,793,17222,NA,NA,NA,NA,407,307,947,810,8508,26087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Río Senguer,013,4974,211,14,2734,2240,45,3,1764,NA,NA,NA,NA,7,9,3,5,239,704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Sarmiento,014,9591,998,33,3994,5597,58,29,2285,NA,NA,NA,NA,17,19,42,183,556,863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Tehuelches,008,4837,159,27,2441,2396,50,1,1287,NA,NA,NA,NA,2,0,1,3,222,925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chubut_sen_paso_2015,sen,paso,2015,07,CHUBUT,Telsen,003,1508,4,1,193,1315,87,0,107,NA,NA,NA,NA,0,0,0,1,33,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Calamuchita,002,47908,1756,364,36951,10957,23,139,5692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,1094,85,5692,8826,952,14359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Capital,001,1077915,50919,10594,753120,324795,30,7394,90166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4266,19529,2273,90166,254982,53616,230728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Colón,003,206619,8895,1761,143670,62949,30,875,16473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,3058,428,16473,46467,7124,52054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Cruz del Eje,004,46817,1112,216,30731,16086,34,73,6597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,307,93,6597,5199,595,11181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,General Roca,005,28262,1059,82,21366,6896,24,18,3518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,960,30,3518,6765,188,6327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,General San Martín,006,110996,3363,630,92553,18443,17,248,21887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,1688,119,21887,24383,1679,20416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Ischilin,007,26772,748,140,17953,8819,33,102,2932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,383,58,2932,3414,329,7758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Juárez Celman,008,51117,1623,288,40159,10958,21,118,5493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,1360,58,5493,11032,622,15887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Marcos Juárez,009,87162,2303,288,66940,20222,23,73,9699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,1181,69,9699,20678,912,24482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Minas,010,4992,145,16,3327,1665,33,11,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,44,11,626,399,34,1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Pocho,011,4617,109,10,3089,1528,33,5,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,31,6,625,542,36,1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Punilla,012,158812,5988,1423,113823,44989,28,546,15413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,2601,239,15413,33693,4480,40926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Río Cuarto,013,209624,5686,1460,157368,52256,25,290,18595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,6443,286,18595,37587,2784,72388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Río Primero,014,39710,1746,160,27007,12703,32,73,2937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,381,64,2937,9380,510,10669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Río Seco,015,12288,423,38,7612,4676,38,14,1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,94,14,1518,1520,93,2825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Río Segundo,016,87665,3998,599,63236,24429,28,190,7706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,1127,159,7706,21063,1420,23653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Roque Sáenz Peña,017,30223,1434,133,22652,7571,25,56,2669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1040,47,2669,6999,346,8762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,San Alberto,018,32050,1056,205,22785,9265,29,60,3658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,861,59,3658,4338,591,9479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,San Javier,019,45673,1563,264,37568,8105,18,92,8574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,1597,60,8574,6591,753,11210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,San Justo,020,175027,5056,770,108894,66133,38,249,12205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,1955,179,12205,34283,2036,45424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Santa María,021,86218,3513,731,63594,22624,26,378,7357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,1493,228,7357,17334,2319,26836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Sobremonte,022,3914,190,21,2194,1720,44,4,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,6,189,472,27,1289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Tercero Arriba,023,96332,3412,569,74451,21881,23,192,9509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,1717,149,9509,20108,1607,31447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Totoral,024,16023,813,74,11967,4056,25,34,2123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,183,87,2123,3391,192,3806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Tulumba,025,11936,327,36,8083,3853,32,15,1697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,57,14,1697,1543,113,2931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cordoba_sen_paso_2015,sen,paso,2015,04,CORDOBA,Unión,026,90383,2736,344,68400,21983,24,128,12028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,1321,123,12028,19736,907,21962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Bella Vista,011,29769,867,161,20377,9392,32,NA,11898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,137,NA,NA,NA,12,51,3445,4763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Berón de Astrada,025,2269,5,2,1656,613,27,NA,1085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,0,86,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Capital,001,283914,9228,2363,195964,87950,31,NA,90761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088,NA,2894,NA,NA,NA,669,933,32295,67324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Concepción,017,16182,139,37,10408,5774,36,NA,6099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,57,NA,NA,NA,21,7,1362,2819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Curuzú Cuatiá,003,36352,1491,180,23949,12403,34,NA,12739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,176,NA,NA,NA,92,51,3364,7393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Empedrado,012,12722,158,72,9010,3712,29,NA,4247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,47,NA,NA,NA,7,15,1383,3262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Esquina,005,27501,390,68,16293,11208,41,NA,8810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,197,NA,NA,NA,41,33,2238,4891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,General Alvear,022,6837,88,29,4332,2505,37,NA,2309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,23,NA,NA,NA,4,1,1001,975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,General Paz,014,13318,298,26,8622,4696,35,NA,4041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,41,NA,NA,NA,25,10,1482,2987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Goya,002,72622,1538,311,49080,23542,32,NA,30400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,300,NA,NA,NA,55,71,5291,12827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Itati,024,8449,58,29,5567,2882,34,NA,3490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,22,NA,NA,NA,11,10,606,1413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Ituzaingo,019,26579,578,120,17588,8991,34,NA,8863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,147,NA,NA,NA,32,7,3022,5412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Lavalle,006,23434,280,35,14938,8496,36,NA,9899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,50,NA,NA,NA,20,26,838,4066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Mburucuya,018,8445,253,17,5934,2511,30,NA,3213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,17,NA,NA,NA,12,7,789,1884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Mercedes,004,34326,1667,192,22492,11834,34,NA,10724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,122,NA,NA,NA,39,55,2520,8941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Monte Caseros,009,29236,841,64,18306,10930,37,NA,7947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,174,NA,NA,NA,36,38,3285,6720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Paso de los Libres,008,41092,1025,154,25376,15716,38,NA,12776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,NA,192,NA,NA,NA,76,92,4325,7617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,Saladas,015,17512,339,66,12213,5299,30,NA,7187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,49,NA,NA,NA,19,17,1495,3399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corrientes_sen_paso_2015,sen,paso,2015,05,CORRIENTES,San Cosme,021,13989,381,47,9414,4575,33,NA,4040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,99,NA,NA,NA,15,25,1455,3734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
